pre_neuron_id,post_neuron_id,synapse_size
864691135398805281,864691136177629702,3688.0
864691136275364365,864691135848030814,2792.0
864691135518173395,864691134942472035,36472.0
864691135518173395,864691134966114591,1760.0
864691135518173395,864691135060651419,14812.0
864691135518173395,864691135214931072,1640.0
864691135518173395,864691135294442678,22504.0
864691135518173395,864691135398805281,1792.0
864691135518173395,864691135464928318,5052.0
864691135518173395,864691135465932357,29360.0
864691135518173395,864691135582973549,5760.0
864691135518173395,864691135656674242,7320.0
864691135518173395,864691135839950227,2820.0
864691135518173395,864691135843242211,5108.0
864691135518173395,864691135970180709,12876.0
864691135518173395,864691136040834558,6136.0
864691135518173395,864691136091074615,2756.0
864691135518173395,864691136195798504,2980.0
864691135518173395,864691136274655166,4008.0
864691135518173395,864691136314491965,15800.0
864691135518173395,864691136336107187,4092.0
864691135518173395,864691136618795227,2764.0
864691135518173395,864691136968542926,3556.0
864691135518173395,864691135336055529,3464.0
864691135518173395,864691135577749022,11804.0
864691135518173395,864691135617152361,16428.0
864691135518173395,864691135717457946,9188.0
864691135518173395,864691135858273326,3684.0
864691135518173395,864691135939049988,8980.0
864691135518173395,864691135990004992,3136.0
864691135518173395,864691136137237899,15312.0
864691135518173395,864691136311059034,4384.0
864691135518173395,864691136330407914,52864.0
864691135518173395,864691136372047496,25812.0
864691135518173395,864691136390788215,2892.0
864691135518173395,864691136674744199,7028.0
864691136905758130,864691135362104647,17392.0
864691136905758130,864691135398817569,16808.0
864691136905758130,864691135448215698,3648.0
864691136905758130,864691135572346349,2464.0
864691136905758130,864691135583223405,14004.0
864691136905758130,864691135739689073,19544.0
864691136905758130,864691135843242211,4920.0
864691136905758130,864691135867644805,11140.0
864691136905758130,864691136274655166,2492.0
864691136905758130,864691136664950750,4400.0
864691136905758130,864691135060727707,11220.0
864691136905758130,864691135324623260,16364.0
864691136905758130,864691135386963541,12968.0
864691136905758130,864691135617152361,14096.0
864691136905758130,864691135970226021,2336.0
864691136905758130,864691136010639022,3552.0
864691136905758130,864691136137834877,8956.0
864691136905758130,864691136674744199,7232.0
864691135462420637,864691135134155168,33136.0
864691135462420637,864691135975633475,18944.0
864691135462420637,864691136380264149,2416.0
864691135566945559,864691135571192966,1868.0
864691135274816017,864691134966714655,160.0
864691135274816017,864691135060882843,1052.0
864691135274816017,864691135340055782,2072.0
864691135274816017,864691135640297787,832.0
864691135274816017,864691135977666883,3440.0
864691135274816017,864691136228491601,11596.0
864691135274816017,864691136274655166,324.0
864691135274816017,864691136445557123,16364.0
864691135274816017,864691135351096279,22076.0
864691135274816017,864691135368949241,2752.0
864691135274816017,864691135587519868,6896.0
864691135274816017,864691135741963627,1416.0
864691135274816017,864691136125457446,4144.0
864691135274816017,864691136288644291,22964.0
864691135274816017,864691136311106650,4100.0
864691135274816017,864691136438666398,2176.0
864691135274816017,864691136905560754,336.0
864691135496333968,864691135416233914,4472.0
864691135496333968,864691135511802576,7356.0
864691135496333968,864691135755197133,2572.0
864691135496333968,864691135059143323,2004.0
864691135496333968,864691135463695429,1660.0
864691135496333968,864691135989817088,7648.0
864691135496333968,864691136176327430,9124.0
864691135496333968,864691136227484753,2488.0
864691135496333968,864691136275031565,1596.0
864691135867644805,864691135304679079,4708.0
864691135867644805,864691135582973549,1212.0
864691135867644805,864691135750642473,39468.0
864691135867644805,864691136437631902,25808.0
864691135867644805,864691136618795227,10060.0
864691135867644805,864691136674495623,2256.0
864691136904488114,864691135294480310,16888.0
864691136904488114,864691135480916422,2692.0
864691136904488114,864691135586724220,4244.0
864691136904488114,864691135587532924,3664.0
864691136904488114,864691135593133067,248.0
864691136904488114,864691135849088094,3820.0
864691136904488114,864691136137794941,16828.0
864691136904488114,864691135184104194,5188.0
864691136904488114,864691135272069285,524.0
864691136904488114,864691135476495936,20312.0
864691136904488114,864691135503182685,33912.0
864691136904488114,864691135849426270,2732.0
864691136904488114,864691136022520056,21964.0
864691136904488114,864691136135963787,3348.0
864691136904488114,864691136905560754,3736.0
864691136904488114,864691136991390869,2752.0
864691134966710559,864691135294520844,196.0
864691134966710559,864691135396940021,3792.0
864691134966710559,864691135448215698,19712.0
864691134966710559,864691135480916422,2228.0
864691134966710559,864691135619756943,1160.0
864691134966710559,864691135843242211,7204.0
864691134966710559,864691135858298670,27116.0
864691134966710559,864691135877825107,2256.0
864691134966710559,864691135988557315,21356.0
864691134966710559,864691136136383883,7544.0
864691134966710559,864691136137293195,8592.0
864691134966710559,864691136195798504,3176.0
864691134966710559,864691136196265704,3408.0
864691134966710559,864691136196517452,3268.0
864691134966710559,864691136330101226,20108.0
864691134966710559,864691136363303138,1948.0
