pre_pt_root_id,post_pt_root_id,size
864691134966324767,864691135858282030,7836.0
864691134966324767,864691135868210454,2280.0
864691134966324767,864691136034464443,5560.0
864691134966324767,864691136118878116,7600.0
864691134966324767,864691136138622333,4920.0
864691134966324767,864691136238090767,23244.0
864691134966324767,864691136312057178,4948.0
864691134966324767,864691136312445786,5156.0
864691134966324767,864691136619693275,11904.0
864691134966495519,864691134966495519,32760.0
864691134966495519,864691135015437462,2472.0
864691134966495519,864691135084038647,20212.0
864691134966495519,864691135119636189,3128.0
864691134966495519,864691135196475434,12308.0
864691134966495519,864691135347633055,7608.0
864691134966495519,864691135389004929,500.0
864691134966495519,864691135398746401,13680.0
864691134966495519,864691135409856713,7068.0
864691134966495519,864691135441799752,16268.0
864691134966495519,864691135517376211,27196.0
864691134966495519,864691135573191405,17820.0
864691134966495519,864691135584019053,20040.0
864691134966495519,864691135594721579,36788.0
864691134966495519,864691135756844242,7376.0
864691134966495519,864691135764678198,308.0
864691134966495519,864691135849640798,12656.0
864691134966495519,864691135869457430,6124.0
864691134966495519,864691135990793216,6008.0
864691134966495519,864691136138622333,10520.0
864691134966495519,864691136138803837,5384.0
864691134966495519,864691136177799686,420.0
864691134966495519,864691136228250961,704.0
864691134966495519,864691136298913563,8944.0
864691134966495519,864691136311213914,1816.0
864691134966495519,864691136314120765,5540.0
864691134966495519,864691136314491965,1216.0
864691134966495519,864691136391023120,3292.0
864691134966495519,864691136438496158,28460.0
864691134966495519,864691136523889553,1244.0
864691134966621471,864691134966025503,2584.0
864691134966621471,864691134966114591,1920.0
864691134966621471,864691134966621471,15012.0
864691134966621471,864691134990847098,3740.0
864691134966621471,864691135014966262,5024.0
864691134966621471,864691135015154934,2372.0
864691134966621471,864691135015437462,572.0
864691134966621471,864691135015605910,3840.0
864691134966621471,864691135060094107,5580.0
864691134966621471,864691135060882843,3984.0
864691134966621471,864691135101521952,6888.0
864691134966621471,864691135102151968,1024.0
864691134966621471,864691135102433056,1600.0
